epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.3,2.05634,3.2012,2.10827,0.07203,0.1081,0.04733,0.00989,2.83585,23.0153,4.60871,0.000410714,0.000410714,0.000410714
2,225.429,2.05103,2.4438,2.09577,0.02934,0.18418,0.03239,0.01085,2.97453,32.2187,4.70917,0.00082192,0.00082192,0.00082192
3,329.476,2.12133,2.44818,2.15715,0.29787,0.31979,0.06668,0.01874,2.65103,19.2704,3.22844,0.00122763,0.00122763,0.00122763
4,433.521,2.00672,2.27013,2.06242,0.29407,0.35472,0.0964,0.0247,3.08941,9.80983,3.16993,0.00122525,0.00122525,0.00122525
5,537.613,1.94894,2.26577,1.99295,0.7042,0.21471,0.25711,0.08117,2.49835,3.82538,2.69389,0.001217,0.001217,0.001217
6,641.771,1.84515,2.13745,1.92634,0.23508,0.47597,0.26091,0.08207,2.46706,3.26136,2.60501,0.00120875,0.00120875,0.00120875
7,745.832,1.86204,2.10299,1.91178,0.18617,0.52387,0.28532,0.09367,2.13703,2.63435,2.18652,0.0012005,0.0012005,0.0012005
8,849.853,1.79263,2.01266,1.83108,0.20128,0.63653,0.23136,0.07994,2.31793,2.44816,2.26753,0.00119225,0.00119225,0.00119225
9,953.021,1.76841,2.01239,1.81463,0.33171,0.63819,0.44522,0.14884,2.17251,2.02438,2.16427,0.001184,0.001184,0.001184
10,1056.92,1.735,1.93763,1.80392,0.34662,0.46308,0.41142,0.13696,1.9976,2.10108,2.07319,0.00117575,0.00117575,0.00117575
11,1160.51,1.72569,1.90319,1.77545,0.32622,0.56927,0.45054,0.16721,2.08711,1.92746,2.08313,0.0011675,0.0011675,0.0011675
12,1264.73,1.72101,1.91644,1.78504,0.52751,0.36753,0.32165,0.1381,2.11257,2.2228,2.15326,0.00115925,0.00115925,0.00115925
13,1368.33,1.6728,1.89269,1.76625,0.39388,0.66684,0.48365,0.18955,1.90964,2.02145,1.94594,0.001151,0.001151,0.001151
14,1471.99,1.68882,1.8581,1.72604,0.32561,0.49885,0.33223,0.08599,2.47047,2.35197,2.32303,0.00114275,0.00114275,0.00114275
15,1575.49,1.65512,1.82644,1.7332,0.3461,0.6446,0.49136,0.18245,1.90182,1.858,1.96798,0.0011345,0.0011345,0.0011345
16,1678.5,1.6673,1.78404,1.70636,0.51976,0.62471,0.57215,0.21589,1.99962,1.75433,2.03026,0.00112625,0.00112625,0.00112625
17,1782.7,1.66092,1.81257,1.70968,0.36472,0.7031,0.52771,0.20587,1.85555,1.82089,1.86041,0.001118,0.001118,0.001118
18,1886.23,1.62175,1.7313,1.68895,0.46489,0.50204,0.48296,0.1965,1.99591,1.89697,1.97425,0.00110975,0.00110975,0.00110975
19,1989.74,1.62364,1.76061,1.69961,0.51647,0.55515,0.53868,0.22631,1.88659,1.79487,1.90049,0.0011015,0.0011015,0.0011015
20,2093.6,1.61949,1.73652,1.68672,0.35734,0.57857,0.35511,0.11196,2.32822,2.10352,2.19812,0.00109325,0.00109325,0.00109325
21,2197.13,1.59003,1.72227,1.66889,0.476,0.68612,0.55229,0.24737,1.79536,1.73901,1.85944,0.001085,0.001085,0.001085
22,2301.35,1.60165,1.71093,1.66075,0.35104,0.56896,0.434,0.15816,1.97712,1.82364,2.00574,0.00107675,0.00107675,0.00107675
23,2404.5,1.58232,1.67428,1.65664,0.52097,0.6955,0.63697,0.29378,1.85809,1.68976,1.84809,0.0010685,0.0010685,0.0010685
24,2508.81,1.60891,1.65563,1.66927,0.47365,0.65504,0.61459,0.27755,1.80866,1.76563,1.8021,0.00106025,0.00106025,0.00106025
25,2611.91,1.56415,1.65012,1.64575,0.33897,0.62663,0.44368,0.17286,2.05132,1.99114,2.06482,0.001052,0.001052,0.001052
26,2714.83,1.54254,1.64452,1.63758,0.46928,0.69451,0.60919,0.28575,1.73098,1.55871,1.77462,0.00104375,0.00104375,0.00104375
27,2817.99,1.51752,1.62425,1.60012,0.51946,0.70851,0.60094,0.25409,1.8598,1.52085,1.91962,0.0010355,0.0010355,0.0010355
28,2921.35,1.52355,1.61371,1.61756,0.4609,0.65566,0.59755,0.26674,1.77018,1.73799,1.80154,0.00102725,0.00102725,0.00102725
29,3025.05,1.51209,1.59042,1.60935,0.50118,0.74109,0.61013,0.25522,1.88159,1.6303,1.85602,0.001019,0.001019,0.001019
30,3128.37,1.51376,1.56887,1.59579,0.66982,0.59663,0.66541,0.30334,1.81165,1.5802,1.80493,0.00101075,0.00101075,0.00101075
