epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.36,1.28983,2.03768,2.32249,1.29585,0.50583,0.61847,0.51635,0.26941,0.41741,0.48594,0.34639,0.08826,1.55342,1.43256,2.4669,1.43391,0.00331903,0.00331903,0.00331903
2,338.099,1.15047,1.52837,1.53804,1.15425,0.53272,0.5502,0.45945,0.21609,0.39057,0.44177,0.27581,0.07556,1.62181,1.49333,2.17969,1.45616,0.00661473,0.00661473,0.00661473
3,493.079,1.22867,1.5119,1.39191,1.19534,0.53005,0.61044,0.51096,0.21916,0.36886,0.45535,0.27662,0.0724,1.87498,1.53487,2.18181,1.71833,0.00987271,0.00987271,0.00987271
4,646.156,1.25972,1.52199,1.2976,1.21638,0.49986,0.59036,0.47329,0.20682,0.3824,0.43775,0.27409,0.06255,1.82904,1.61419,1.85404,1.6833,0.00983029,0.00983029,0.00983029
5,799.117,1.21244,1.49281,1.16772,1.18963,0.47404,0.54217,0.37417,0.19098,0.34926,0.42972,0.21516,0.04552,1.7321,1.52469,1.82647,1.59731,0.00977371,0.00977371,0.00977371
6,951.395,1.13351,1.43266,1.0454,1.15517,0.6233,0.58476,0.53186,0.26389,0.46491,0.43617,0.30292,0.08405,1.68693,1.3714,1.77801,1.54709,0.00971714,0.00971714,0.00971714
7,1104.21,1.08996,1.41236,0.99014,1.13326,0.43581,0.52739,0.40073,0.20589,0.30492,0.41365,0.22721,0.05761,1.71505,1.37543,1.8355,1.58466,0.00966057,0.00966057,0.00966057
8,1257.06,1.03686,1.37178,0.92675,1.10937,0.68716,0.71455,0.60062,0.32394,0.52113,0.53321,0.34867,0.10087,1.53683,1.49617,1.53563,1.44267,0.009604,0.009604,0.009604
9,1410.64,1.0281,1.36205,0.88765,1.10713,0.62677,0.6506,0.58355,0.33021,0.46477,0.54618,0.37384,0.10283,1.53708,1.28288,1.53006,1.49591,0.00954743,0.00954743,0.00954743
10,1563.74,0.97515,1.31082,0.84755,1.07503,0.61941,0.67871,0.59743,0.34205,0.52966,0.62864,0.44161,0.12435,1.49807,1.31203,1.42387,1.43032,0.00949086,0.00949086,0.00949086
